address,price,lease_type,building_type,lease_start_date
"255 Keats Way Unit 708, Waterloo, ON N2L 6N6, Canada","1,650.00",12 months,Apartment/Condo,2025-05-01
"273 Lester Street, Waterloo, ON N2L 3W6, Canada","$860.00 - $1,050.00",12 months,Apartment/Condo,2025-09-01
"112 Columbia Street West,, Waterloo, ON N2L 3K8, Canada",$830.00 - $920.00,12 months,Apartment/Condo,2025-09-01
"273 Lester Street, Waterloo, ON N2L 3W6, Canada",$490.00 - $750.00,Any,Apartment/Condo,Immediately
"26 Ontario St, Kitchener, ON N2G 1X2, Canada","$2,000.00 - $2,100.00",Any,Apartment/Condo,Immediately
"49 Columbia Street West, Waterloo, ON N2L 3K4, Canada","$969.00 - $1,750.00",12 months,Apartment/Condo,2025-09-01
"110 columbia St W, Waterloo, ON N2L 3K8, Canada",799.00 - 899.00,12 months,Apartment/Condo,Immediately
"360 ERB ST WEST, Waterloo, ON N2L 1W6, Canada",795.00,12 months,Townhouse,2025-09-01
"Thorncrest drive, Waterloo, ON N2L 5P9, Canada","950.00 - 1,025.00",12 months,Townhouse,Immediately
"Winfield Avenue, Waterloo, ON N2J 3M8, Canada","975.00 - 1,100.00",12 months,Townhouse,2025-09-01
"278 Westcourt PL, Waterloo, ON N2L 2R7, Canada","2,850.00",12 months,Townhouse,2025-09-01
"343 Lester St, Waterloo, ON N2L 3W6, Canada","$850.00 - $1,000.00",12 months,Apartment/Condo,2025-09-01
"271 WESTCOURT PLACE, Waterloo, ON N2L 2R8, Canada",825.00 - 925.00,12 months,Townhouse,2025-09-01
"146 King St. N., Waterloo, ON N2J 2X9, Canada",825.00,12 months,Apartment/Condo,2025-09-01
"134 Columbia St W, Waterloo, ON N2L 3K8, Canada",995.00,12 months,Apartment/Condo,2025-09-01
"168 King St. North, Waterloo, ON N2J 0B6, Canada","$599.00 - $1,200.00",12 months,,Contact for more details
"22 Columbia St W., Waterloo, ON N2L 3K3, Canada",850.00,12 months,Apartment/Condo,2025-09-01
"133 Columbia St W,, Waterloo, ON N2L 3L2, Canada",775.00,12 months,Townhouse,2025-09-03
"169 Candlewood Crescent, Waterloo, ON N2L 5M7, Canada",$950.00 - $980.00,4 months,,2025-05-01
"298 Park Street, Kitchener, ON N2G 1N1, Canada",650.00 - 695.00,Any,Townhouse,2025-05-03
